id,entry
379,2018-06-01 09-19-55 BALLASTS_ON 13 21
380,2018-06-01 09-19-55 LAMPA_ON 13 -1
381,2018-06-01 09-19-55 LAMPB_ON 13 -1
382,2018-06-01 09-19-55 LAMPC_ON 13 -1
383,2018-06-01 09-19-55 LAMPD_ON 13 -1
384,2018-06-01 09-21-21 AWAKE_OFF -1 -1
385,2018-06-01 09-21-21 BALLASTS_OFF -1 -1
386,2018-06-01 09-21-22 LAMPD_OFF -1 -1
387,2018-06-01 09-21-22 LAMPA_OFF -1 -1
388,2018-06-01 09-21-22 LAMPC_OFF -1 -1
389,2018-06-01 09-21-22 LAMPB_OFF -1 -1
390,2018-06-01 09-21-24 AWAKE_ON -1 -1
391,2018-06-01 09-21-29 BALLASTS_ON 15 22
392,2018-06-01 09-21-29 LAMPA_ON 15 -1
393,2018-06-01 09-21-29 LAMPB_ON 15 -1
394,2018-06-01 09-21-29 LAMPC_ON 15 -1
395,2018-06-01 09-21-29 LAMPD_ON 15 -1
396,2018-06-01 09-21-49 LAMPD_OFF -1 -1
397,2018-06-01 09-22-49 AWAKE_OFF -1 -1
398,2018-06-01 09-22-49 BALLASTS_OFF -1 -1
399,2018-06-01 09-22-50 LAMPA_OFF -1 -1
400,2018-06-01 09-22-50 LAMPC_OFF -1 -1
401,2018-06-01 09-22-50 LAMPB_OFF -1 -1
402,2018-06-01 09-22-53 AWAKE_ON -1 -1
403,2018-06-01 09-22-58 BALLASTS_ON 16 23
404,2018-06-01 09-22-58 LAMPA_ON 16 -1
405,2018-06-01 09-22-58 LAMPB_ON 16 -1
406,2018-06-01 09-22-58 LAMPC_ON 16 -1
407,2018-06-01 09-22-58 LAMPD_ON 16 -1
408,2018-06-01 09-22-59 LAMPD_OFF -1 -1
409,2018-06-01 09-23-43 AWAKE_OFF -1 -1
410,2018-06-01 09-23-43 BALLASTS_OFF -1 -1
411,2018-06-01 09-23-44 LAMPA_OFF -1 -1
412,2018-06-01 09-23-44 LAMPC_OFF -1 -1
413,2018-06-01 09-23-44 LAMPB_OFF -1 -1
414,2018-06-01 09-23-45 AWAKE_ON -1 -1
415,2018-06-01 09-23-50 BALLASTS_ON 17 24
416,2018-06-01 09-23-50 LAMPA_ON 17 -1
417,2018-06-01 09-23-50 LAMPB_ON 17 -1
418,2018-06-01 09-23-50 LAMPC_ON 17 -1
419,2018-06-01 09-23-50 LAMPD_ON 17 -1
420,2018-06-01 09-23-54 AWAKE_OFF -1 -1
421,2018-06-01 09-23-54 BALLASTS_OFF -1 -1
